periodo,indice_inflacion
2019-01,2.9
2019-02,3.8
2019-03,4.7
2019-04,3.4
2019-05,3.1
2019-06,2.7
2019-07,2.2
2019-08,4.0
2019-09,5.9
2019-10,3.3
2019-11,4.3
2019-12,3.7
2020-01,2.3
2020-02,2.0
2020-03,3.3
2020-04,1.5
2020-05,1.5
2020-06,2.2
2020-07,1.9
2020-08,2.7
2020-09,2.8
2020-10,3.8
2020-11,3.2
2020-12,4.0
2021-01,4.0
2021-02,3.6
2021-03,4.8
2021-04,4.1
2021-05,3.3
2021-06,3.2
2021-07,3.0
2021-08,2.5
2021-09,3.5
2021-10,3.5
2021-11,2.5
2021-12,3.8
2022-01,3.9
2022-02,4.7
2022-03,6.7
2022-04,6.0
2022-05,5.1
2022-06,5.3
2022-07,7.4
2022-08,7.0
2022-09,6.2
2022-10,6.3
2022-11,4.9
2022-12,5.1
2023-01,6.0
2023-02,6.6
2023-03,7.7
2023-04,8.4
2023-05,7.8
2023-06,6.0
2023-07,6.3
2023-08,12.4
2023-09,12.7
2023-10,8.3
2023-11,12.8
2023-12,25.5